lob,iteration,method,percentage_error
medmal,36,chain_ladder,-0.46248769194734385
medmal,36,mack_chain_ladder,-0.46248769194734385
medmal,36,bornhuetter_ferguson,-0.08299819579535694
medmal,37,chain_ladder,-0.3295344394483682
medmal,37,mack_chain_ladder,-0.3295344394483682
medmal,37,bornhuetter_ferguson,0.08432749643298264
medmal,38,chain_ladder,-0.35916315581589103
medmal,38,mack_chain_ladder,-0.35916315581589103
medmal,38,bornhuetter_ferguson,0.19140319053385235
medmal,39,chain_ladder,-0.38516026863643954
medmal,39,mack_chain_ladder,-0.38516026863643954
medmal,39,bornhuetter_ferguson,-0.0815607100023848
medmal,40,chain_ladder,-0.3540791216052528
medmal,40,mack_chain_ladder,-0.3540791216052528
medmal,40,bornhuetter_ferguson,-0.03798238227436031
medmal,41,chain_ladder,-0.4256987826506503
medmal,41,mack_chain_ladder,-0.4256987826506503
medmal,41,bornhuetter_ferguson,-0.08910430316840752
medmal,42,chain_ladder,-0.45472624570645276
medmal,42,mack_chain_ladder,-0.45472624570645276
medmal,42,bornhuetter_ferguson,-0.03132198066566764
medmal,43,chain_ladder,-0.3380785064253642
medmal,43,mack_chain_ladder,-0.3380785064253642
medmal,43,bornhuetter_ferguson,0.19171433322794024
medmal,44,chain_ladder,-0.45610551140029065
medmal,44,mack_chain_ladder,-0.45610551140029065
medmal,44,bornhuetter_ferguson,-0.1481153912795184
medmal,45,chain_ladder,-0.12688105516862505
medmal,45,mack_chain_ladder,-0.12688105516862505
medmal,45,bornhuetter_ferguson,0.06903442380715423
medmal,46,chain_ladder,-0.30572795940323017
medmal,46,mack_chain_ladder,-0.30572795940323017
medmal,46,bornhuetter_ferguson,-0.08304553350450868
medmal,47,chain_ladder,-0.17147340574704373
medmal,47,mack_chain_ladder,-0.17147340574704373
medmal,47,bornhuetter_ferguson,0.06773729763965926
medmal,48,chain_ladder,-0.2729801077098458
medmal,48,mack_chain_ladder,-0.2729801077098458
medmal,48,bornhuetter_ferguson,0.03907810725484356
medmal,49,chain_ladder,-0.4555877903139208
medmal,49,mack_chain_ladder,-0.4555877903139208
medmal,49,bornhuetter_ferguson,-0.07514827022399148
medmal,50,chain_ladder,-0.2450607732774028
medmal,50,mack_chain_ladder,-0.2450607732774028
medmal,50,bornhuetter_ferguson,-0.018979493787371488
medmal,51,chain_ladder,-0.19914776750200344
medmal,51,mack_chain_ladder,-0.19914776750200344
medmal,51,bornhuetter_ferguson,0.09178721420819755
medmal,52,chain_ladder,-0.26101586937327076
medmal,52,mack_chain_ladder,-0.26101586937327076
medmal,52,bornhuetter_ferguson,-0.03191683557995844
medmal,53,chain_ladder,-0.27155241755118004
medmal,53,mack_chain_ladder,-0.27155241755118004
medmal,53,bornhuetter_ferguson,-0.005937141844520316
medmal,54,chain_ladder,-0.2910674840317201
medmal,54,mack_chain_ladder,-0.2910674840317201
medmal,54,bornhuetter_ferguson,0.0804984580987973
medmal,55,chain_ladder,-0.5027340848281716
medmal,55,mack_chain_ladder,-0.5027340848281716
medmal,55,bornhuetter_ferguson,-0.11797938877228016
medmal,56,chain_ladder,-0.30229565140042636
medmal,56,mack_chain_ladder,-0.30229565140042636
medmal,56,bornhuetter_ferguson,0.023967863671961544
medmal,57,chain_ladder,-0.41054815859459887
medmal,57,mack_chain_ladder,-0.41054815859459887
medmal,57,bornhuetter_ferguson,-0.050871331740191705
medmal,58,chain_ladder,-0.24175542722466203
medmal,58,mack_chain_ladder,-0.24175542722466203
medmal,58,bornhuetter_ferguson,0.04582113252550862
medmal,59,chain_ladder,-0.5052716327983491
medmal,59,mack_chain_ladder,-0.5052716327983491
medmal,59,bornhuetter_ferguson,-0.12903538132191858
medmal,60,chain_ladder,-0.4283466638579033
medmal,60,mack_chain_ladder,-0.4283466638579033
medmal,60,bornhuetter_ferguson,0.031229685768854872
