detection_scale,frequency_multiplier,loss_conversion_ratio,remediation_cost,topology,var_995,var_995_ci_low,var_995_ci_high,es_995
0.6,1.0,0.01,1000.0,T5_HUMAN_K3,43552.47033489086,40775.16678233983,44781.50589845924,47010.71137452043
0.6,1.0,0.01,5000.0,T1_LINEAR,496376569.3327997,408001313.39882535,684945880.5524836,661607783.2812375
0.6,1.0,0.01,5000.0,T2_VALIDATOR,94281.23633776199,93476.94665289026,97237.65332665374,101096.51237237078
0.6,1.0,0.01,5000.0,T3_SUPERVISOR,94269.2022514801,92554.63949392969,104231.62033734629,105013.52894261327
0.6,1.0,0.01,5000.0,T4_CRITIC,9230403.932881877,9221045.007454462,16288669.438154202,15921866.443884227
0.6,1.0,0.01,5000.0,T5_HUMAN_K0,492434325.3020639,397347252.92755103,500849307.86668545,579847026.9576929
0.6,1.0,0.01,5000.0,T5_HUMAN_K1,151528484.5613181,150041155.06649056,151541070.68346626,210896530.0968019
0.6,1.0,0.01,5000.0,T5_HUMAN_K2,101211.1309709921,98922.66185676036,106052.79601732873,111284.55942193003
0.6,1.0,0.01,5000.0,T5_HUMAN_K3,107484.95424136917,103591.24898873935,112294.21668091069,113824.49157968313
0.6,1.0,0.01,10000.0,T1_LINEAR,496441569.3327997,401252316.953425,685024201.6272353,661663449.9479042
0.6,1.0,0.01,10000.0,T2_VALIDATOR,182765.40841885656,177981.7613064012,186284.0323715556,193993.5668268261
0.6,1.0,0.01,10000.0,T3_SUPERVISOR,180013.73250339762,175513.36203630245,190023.9744267732,200469.7162852423
0.6,1.0,0.01,10000.0,T4_CRITIC,9302188.72175029,9287406.568299515,9382311.691903004,15988640.303621756
0.6,1.0,0.01,10000.0,T5_HUMAN_K0,492479325.3020639,397412036.5377388,499890684.22530353,579905026.9576929
0.6,1.0,0.01,10000.0,T5_HUMAN_K1,151578484.5613181,150131142.45068285,151608548.71545997,210954863.43013525
0.6,1.0,0.01,10000.0,T5_HUMAN_K2,185316.28201420026,180889.83657830968,196065.6885053946,206157.4850335293
0.6,1.0,0.01,10000.0,T5_HUMAN_K3,190925.11883416385,188471.8904326791,198264.91061183088,205117.5343486561
0.6,1.0,0.05,1000.0,T1_LINEAR,2481570846.663998,2005689997.2892268,3424522388.970095,3307771716.4061875
0.6,1.0,0.05,1000.0,T2_VALIDATOR,87228.29956100242,81125.13099555283,89142.88133826363,93368.94070565155
0.6,1.0,0.05,1000.0,T3_SUPERVISOR,84593.92043533307,79822.04216312911,89590.34045678205,90228.21957021017
0.6,1.0,0.05,1000.0,T4_CRITIC,45816011.50067739,45791468.623109415,46118103.584883146,79305444.3467434
0.6,1.0,0.05,1000.0,T5_HUMAN_K0,2461955626.5103197,1986331266.748659,2504030382.9707174,2898956734.788465
0.6,1.0,0.05,1000.0,T5_HUMAN_K1,757369390.2500792,749817034.6943051,757426860.8377938,1054211900.6633263
0.6,1.0,0.05,1000.0,T5_HUMAN_K2,139674.27290340804,129666.21605297184,143853.45809572347,155786.58408686507
0.6,1.0,0.05,1000.0,T5_HUMAN_K3,157496.1925547772,151471.7344003493,167545.87439652014,178109.48248066634
0.6,1.0,0.05,5000.0,T1_LINEAR,2481622846.663998,2039633695.9859512,3424569402.762417,3307816249.7395205
0.6,1.0,0.05,5000.0,T2_VALIDATOR,141035.06869441745,132692.2221652562,147641.3804904364,153321.1317265413
0.6,1.0,0.05,5000.0,T3_SUPERVISOR,144772.77365350243,135227.25452736975,153027.67362570044,155033.58329572767
0.6,1.0,0.05,5000.0,T4_CRITIC,45862799.384055205,45838241.30777123,46072085.266652085,79353200.64607064
0.6,1.0,0.05,5000.0,T5_HUMAN_K0,2461991626.5103197,1986382408.8231559,2504065994.693275,2899003134.788465
0.6,1.0,0.05,5000.0,T5_HUMAN_K1,757425370.2500792,749909986.566705,757458611.4494969,1054255367.3299929
0.6,1.0,0.05,5000.0,T5_HUMAN_K2,193695.15363467732,182611.75492462728,199228.32364326323,209270.08225398086
0.6,1.0,0.05,5000.0,T5_HUMAN_K3,217762.3516744543,204451.3638315367,223907.5294922962,235053.55687260212
0.6,1.0,0.05,10000.0,T1_LINEAR,2481687846.663998,2032126327.5910165,3424594410.9432263,3307871916.4061875
0.6,1.0,0.05,10000.0,T2_VALIDATOR,216262.77218074817,212844.13049075287,227641.3804904364,237221.28300172856
0.6,1.0,0.05,10000.0,T3_SUPERVISOR,222783.5874651947,215737.16348761937,236164.63621227103,245030.83917984212
0.6,1.0,0.05,10000.0,T4_CRITIC,45937553.065288715,45906459.19570918,46248923.31712232,79415435.7374207
0.6,1.0,0.05,10000.0,T5_HUMAN_K0,2462036626.5103197,1986443691.264271,2504111338.0400586,2899061134.788465
0.6,1.0,0.05,10000.0,T5_HUMAN_K1,757492380.7131686,750004698.7571479,757495812.2767551,1054309898.8560901
0.6,1.0,0.05,10000.0,T5_HUMAN_K2,264819.6665502251,251072.2511930042,273676.1350364411,287379.7871481769
0.6,1.0,0.05,10000.0,T5_HUMAN_K3,291597.36158366775,278188.9590950248,302490.8835525728,312456.61568336625
0.6,1.0,0.1,1000.0,T1_LINEAR,4963128693.327996,4011434154.3463206,6849054016.272351,6615532299.479041
0.6,1.0,0.1,1000.0,T2_VALIDATOR,157097.80497020553,150932.5777115139,165569.49141802354,173095.50399117597
