lob,grcode,fault,detected,duplicate_check,nonnegative_check,development_check,completeness_check,extreme_increment_check
medmal,10341,development_mismatch,True,False,False,True,False,False
medmal,10341,missing_cell,True,False,False,False,True,False
medmal,10341,unit_x1000,False,False,False,False,False,False
medmal,40568,duplicate_key,True,True,False,False,False,False
medmal,40568,negative_paid,True,False,True,False,False,False
medmal,40568,development_mismatch,True,False,False,True,False,False
medmal,40568,missing_cell,True,False,False,False,True,False
medmal,40568,unit_x1000,False,False,False,False,False,False
medmal,10115,duplicate_key,True,True,False,False,False,False
medmal,10115,negative_paid,True,False,True,False,False,False
medmal,10115,development_mismatch,True,False,False,True,False,False
medmal,10115,missing_cell,True,False,False,False,True,False
medmal,10115,unit_x1000,False,False,False,False,False,False
medmal,36072,duplicate_key,True,True,False,False,False,False
medmal,36072,negative_paid,True,False,True,False,False,False
medmal,36072,development_mismatch,True,False,False,True,False,False
medmal,36072,missing_cell,True,False,False,False,True,False
medmal,36072,unit_x1000,False,False,False,False,False,False
medmal,10232,duplicate_key,True,True,False,False,False,False
medmal,10232,negative_paid,True,False,True,False,False,False
medmal,10232,development_mismatch,True,False,False,True,False,False
medmal,10232,missing_cell,True,False,False,False,True,False
medmal,10232,unit_x1000,False,False,False,False,False,False
medmal,12260,duplicate_key,True,True,False,False,False,False
medmal,12260,negative_paid,True,False,True,False,False,False
medmal,12260,development_mismatch,True,False,False,True,False,False
medmal,12260,missing_cell,True,False,False,False,True,False
medmal,12260,unit_x1000,False,False,False,False,False,False
medmal,10393,duplicate_key,True,True,False,False,False,False
medmal,10393,negative_paid,True,False,True,False,False,False
medmal,10393,development_mismatch,True,False,False,True,False,False
medmal,10393,missing_cell,True,False,False,False,True,False
medmal,10393,unit_x1000,False,False,False,False,False,False
othliab,1767,duplicate_key,True,True,False,False,False,False
othliab,1767,negative_paid,True,False,True,False,False,False
othliab,1767,development_mismatch,True,False,False,True,False,False
othliab,1767,missing_cell,True,False,False,False,True,False
othliab,1767,unit_x1000,False,False,False,False,False,False
othliab,33499,duplicate_key,True,True,True,False,False,False
othliab,33499,negative_paid,True,False,True,False,False,False
othliab,33499,development_mismatch,True,False,True,True,False,False
othliab,33499,missing_cell,True,False,True,False,True,False
othliab,33499,unit_x1000,True,False,True,False,False,False
othliab,620,duplicate_key,True,True,False,False,False,False
othliab,620,negative_paid,True,False,True,False,False,False
othliab,620,development_mismatch,True,False,False,True,False,False
othliab,620,missing_cell,True,False,False,False,True,False
othliab,620,unit_x1000,False,False,False,False,False,False
othliab,10657,duplicate_key,True,True,False,False,False,False
othliab,10657,negative_paid,True,False,True,False,False,False
othliab,10657,development_mismatch,True,False,False,True,False,False
othliab,10657,missing_cell,True,False,False,False,True,False
othliab,10657,unit_x1000,False,False,False,False,False,False
othliab,2003,duplicate_key,True,True,False,False,False,False
othliab,2003,negative_paid,True,False,True,False,False,False
othliab,2003,development_mismatch,True,False,False,True,False,False
othliab,2003,missing_cell,True,False,False,False,True,False
othliab,2003,unit_x1000,False,False,False,False,False,False
othliab,10020,duplicate_key,True,True,False,False,False,False
othliab,10020,negative_paid,True,False,True,False,False,False
othliab,10020,development_mismatch,True,False,False,True,False,False
othliab,10020,missing_cell,True,False,False,False,True,False
othliab,10020,unit_x1000,False,False,False,False,False,False
othliab,42439,duplicate_key,True,True,False,False,False,False
othliab,42439,negative_paid,True,False,True,False,False,False
othliab,42439,development_mismatch,True,False,False,True,False,False
othliab,42439,missing_cell,True,False,False,False,True,False
othliab,42439,unit_x1000,False,False,False,False,False,False
othliab,6777,duplicate_key,True,True,False,False,False,False
othliab,6777,negative_paid,True,False,True,False,False,False
othliab,6777,development_mismatch,True,False,False,True,False,False
othliab,6777,missing_cell,True,False,False,False,True,False
othliab,6777,unit_x1000,False,False,False,False,False,False
othliab,2135,duplicate_key,True,True,False,False,False,False
othliab,2135,negative_paid,True,False,True,False,False,False
othliab,2135,development_mismatch,True,False,False,True,False,False
othliab,2135,missing_cell,True,False,False,False,True,False
othliab,2135,unit_x1000,False,False,False,False,False,False
othliab,8672,duplicate_key,True,True,False,False,False,False
othliab,8672,negative_paid,True,False,True,False,False,False
othliab,8672,development_mismatch,True,False,False,True,False,False
othliab,8672,missing_cell,True,False,False,False,True,False
othliab,8672,unit_x1000,False,False,False,False,False,False
othliab,11118,duplicate_key,True,True,False,False,False,False
othliab,11118,negative_paid,True,False,True,False,False,False
othliab,11118,development_mismatch,True,False,False,True,False,False
othliab,11118,missing_cell,True,False,False,False,True,False
othliab,11118,unit_x1000,False,False,False,False,False,False
othliab,12866,duplicate_key,True,True,False,False,False,False
othliab,12866,negative_paid,True,False,True,False,False,False
othliab,12866,development_mismatch,True,False,False,True,False,False
othliab,12866,missing_cell,True,False,False,False,True,False
othliab,12866,unit_x1000,False,False,False,False,False,False
othliab,11150,duplicate_key,True,True,True,False,False,False
othliab,11150,negative_paid,True,False,True,False,False,False
othliab,11150,development_mismatch,True,False,True,True,False,False
othliab,11150,missing_cell,True,False,True,False,True,False
othliab,11150,unit_x1000,True,False,True,False,False,False
othliab,5185,duplicate_key,True,True,False,False,False,False
othliab,5185,negative_paid,True,False,True,False,False,False
othliab,5185,development_mismatch,True,False,False,True,False,False
othliab,5185,missing_cell,True,False,False,False,True,False
othliab,5185,unit_x1000,False,False,False,False,False,False
othliab,42846,duplicate_key,True,True,False,False,False,False
othliab,42846,negative_paid,True,False,True,False,False,False
othliab,42846,development_mismatch,True,False,False,True,False,False
othliab,42846,missing_cell,True,False,False,False,True,False
othliab,42846,unit_x1000,False,False,False,False,False,False
othliab,10103,duplicate_key,True,True,True,False,False,False
othliab,10103,negative_paid,True,False,True,False,False,False
othliab,10103,development_mismatch,True,False,True,True,False,False
othliab,10103,missing_cell,True,False,True,False,True,False
othliab,10103,unit_x1000,True,False,True,False,False,False
othliab,5940,duplicate_key,True,True,True,False,False,False
