source_kind,local_path,source_url,revision,sha256,bytes,file_count,license_files,declared_license,status,note
http,data/_scripts/aat_data_remote/huggingface_open/jailbreak-classification_train.parquet,https://huggingface.co/datasets/jackhhao/jailbreak-classification/resolve/refs%2Fconvert%2Fparquet/default/train/0000.parquet,,383b626a73da46af67c268401bd7ddd6e092f7b318aabbe84c32e9dd5d53392e,718668,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/oprisk_basel/BCBS160_2008_LDCE_overview.pdf,https://www.bis.org/publ/bcbs160.pdf,,a51f19e1cd9ff2493c42f22e7483ef35b24b23bc1ad73a547d99113c63968e03,537845,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/oprisk_basel/BCBS160b_2008_AMA_range_of_practice.pdf,https://www.bis.org/publ/bcbs160b.pdf,,973cafd5c0d9cce1219cde71779d02391bf830ff3ec7a0e4d60af245207f604f,2117674,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/oprisk_basel/BCBS195_sound_practices_oprisk.pdf,https://www.bis.org/publ/bcbs195.pdf,,d9491f870b4d8ffafa78b45923ada75b3e93223fca2f0ca069e8e3b708a108fc,136333,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/oprisk_basel/BCBS196_AMA_supervisory_guidelines.pdf,https://www.bis.org/publ/bcbs196.pdf,,785e1d05030bb5ac8271d5cbcfcd4434ec74757f2dc4bf307816ab82fb3e9a03,349153,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/oprisk_basel/BCBS_2002_operational_risk_LDCE_instructions.pdf,https://www.bis.org/publications/bcbs-qis/oprdata.pdf,,0fd19fb4842c7de5a4d6b1f2d41d2860799be4502e5dc354ea175e832e636c0c,48568,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/oprisk_basel/BCBS_2002_operational_risk_LDCE_summary.pdf,https://www.bis.org/publications/200111-qis-2002-loss-data-collection-exercise-operational-risk-summary-data-collected.pdf,,477f8b2f8b798580b3481f2b25e0ba80f9efe87ab53152618be449f88a9c9395,221985,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/oprisk_basel/BCBS_d355_standardised_measurement_approach.pdf,https://www.bis.org/bcbs/publ/d355.pdf,,5fb523c3c07e3ffb60a0aaf19d48e04e279533a489bfc645bbcaf3497a879c32,293194,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/oprisk_basel/BCBS_d424_Basel_III_finalisation_SA_oprisk.pdf,https://www.bis.org/bcbs/publ/d424.pdf,,32afd37cade34f8439bdc16f606d5520d4612b7339ef1cf8c44ebb706df6bac4,3053985,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/solvency2_eiopa/EIOPA_SA_accompanying_note.pdf,https://register.eiopa.europa.eu/Publications/Insurance%20Statistics/SA_Accompanying_note.pdf,,0ae23751489996001e024f41c756b4d784e3d32e0d71b67ec3234f52e751155b,345537,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/solvency2_eiopa/EIOPA_SA_Balance_Sheet.csv,https://nexteuropa-multisites.s3.eu-west-1.amazonaws.com/www.eiopa.europa.eu/assets/insurance-statistics/SA_Balance_Sheet.csv,,04b518688252f0c82c197f2a177aebe27310270af15d761a2def317d824daabb,2680516,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/solvency2_eiopa/EIOPA_SA_Own_Funds.csv,https://nexteuropa-multisites.s3.eu-west-1.amazonaws.com/www.eiopa.europa.eu/assets/insurance-statistics/SA_Own_Funds.csv,,7f3c5db3e4ed342e57bd8ba772461c3bc5884171b3fc530abbd7912775d62146,573352,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/solvency2_eiopa/EIOPA_SA_Own_Funds.xlsx,https://nexteuropa-multisites.s3.eu-west-1.amazonaws.com/www.eiopa.europa.eu/assets/insurance-statistics/SA_Own_Funds.xlsx,,2c42ef399cbfff7e60eef4e358418c4b5ed78a9d529c6d1b2f68caaa9980816b,815654,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
http,data/_scripts/aat_data_remote/solvency2_eiopa/EIOPA_SA_Premiums_Claims_Expenses.csv,https://nexteuropa-multisites.s3.eu-west-1.amazonaws.com/www.eiopa.europa.eu/assets/insurance-statistics/SA_Premiums_Claims_Expenses.csv,,e18b689914784a10051a9ed509ea42a08fcec8ef0c96e1d494a5914b51dd0916,1918116,1,,official/public download; source terms still apply,verified,File SHA-256 verified locally.
