stage,fault_type,topology,n,posterior_mean_increment,ci_05,ci_95,predictive_scale,degrees_freedom
S5_SELECT,F7_ADVERSARIAL,T4_CRITIC,8,0.8114086209706807,-1.8239583489091906,3.4467755908505517,4.904103940064287,12.0
S5_SELECT,F7_ADVERSARIAL,T5_HUMAN_K0,24,0.3120802388348772,-0.7170105005269074,1.3411709781966614,3.1433866910586494,28.0
S5_SELECT,F7_ADVERSARIAL,T5_HUMAN_K1,15,0.47729918880628275,-1.0891390494113529,2.0437374270239177,3.8434494788600353,19.0
S5_SELECT,F7_ADVERSARIAL,T5_HUMAN_K2,4,1.3523477016178012,-2.9586447188475233,5.663340122083125,6.133648401780602,8.0
S5_SELECT,F7_ADVERSARIAL,T5_HUMAN_K3,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S6_NARRATE,F1_DATA,T1_LINEAR,16,0.45078256720593374,-1.0297885565010145,1.9313536909128817,3.7418633063414806,20.0
S6_NARRATE,F1_DATA,T5_HUMAN_K0,14,0.5071303881066754,-1.155733065300642,2.1699938415139925,3.9538120938662313,18.0
S6_NARRATE,F2_SEMANTIC,T1_LINEAR,7,0.9015651344118675,-2.0179351788743496,3.8210654476980834,5.140792172975676,11.0
S6_NARRATE,F2_SEMANTIC,T4_CRITIC,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S6_NARRATE,F2_SEMANTIC,T5_HUMAN_K0,7,0.9015651344118675,-2.0179351788743496,3.8210654476980834,5.140792172975676,11.0
S6_NARRATE,F2_SEMANTIC,T5_HUMAN_K1,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S6_NARRATE,F3_TOOL,T1_LINEAR,21,0.3527863569437742,-0.8092025315001743,1.5147752453877221,3.3326057524503248,25.0
S6_NARRATE,F3_TOOL,T3_SUPERVISOR,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S6_NARRATE,F3_TOOL,T4_CRITIC,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S6_NARRATE,F3_TOOL,T5_HUMAN_K0,24,0.3120802388348772,-0.7170105005269074,1.3411709781966614,3.1433866910586494,28.0
S6_NARRATE,F3_TOOL,T5_HUMAN_K3,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S6_NARRATE,F4_REASONING,T1_LINEAR,8,0.8114086209706807,-1.8239583489091906,3.4467755908505517,4.904103940064287,12.0
S6_NARRATE,F4_REASONING,T2_VALIDATOR,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S6_NARRATE,F4_REASONING,T3_SUPERVISOR,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S6_NARRATE,F4_REASONING,T4_CRITIC,2,2.0285215524267017,-4.274226519301433,8.331269624154833,7.2527357727726915,6.0
S6_NARRATE,F4_REASONING,T5_HUMAN_K0,8,0.8114086209706807,-1.8239583489091906,3.4467755908505517,4.904103940064287,12.0
S6_NARRATE,F4_REASONING,T5_HUMAN_K1,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S6_NARRATE,F4_REASONING,T5_HUMAN_K2,2,2.0285215524267017,-4.274226519301433,8.331269624154833,7.2527357727726915,6.0
S6_NARRATE,F4_REASONING,T5_HUMAN_K3,4,1.3523477016178012,-2.9586447188475233,5.663340122083125,6.133648401780602,8.0
S6_NARRATE,F5_HANDOFF,T1_LINEAR,8,0.8114086209706807,-1.8239583489091906,3.4467755908505517,4.904103940064287,12.0
S6_NARRATE,F5_HANDOFF,T5_HUMAN_K0,8,0.8114086209706807,-1.8239583489091906,3.4467755908505517,4.904103940064287,12.0
S6_NARRATE,F6_CONTEXT,T1_LINEAR,16,0.45078256720593374,-1.0297885565010145,1.9313536909128817,3.7418633063414806,20.0
S6_NARRATE,F6_CONTEXT,T4_CRITIC,2,2.0285215524267017,-4.274226519301433,8.331269624154833,7.2527357727726915,6.0
S6_NARRATE,F6_CONTEXT,T5_HUMAN_K0,15,0.47729918880628275,-1.0891390494113529,2.0437374270239177,3.8434494788600353,19.0
S6_NARRATE,F6_CONTEXT,T5_HUMAN_K1,4,1.3523477016178012,-2.9586447188475233,5.663340122083125,6.133648401780602,8.0
S6_NARRATE,F6_CONTEXT,T5_HUMAN_K2,2,2.0285215524267017,-4.274226519301433,8.331269624154833,7.2527357727726915,6.0
S6_NARRATE,F7_ADVERSARIAL,T1_LINEAR,18,31.380770493172626,27.816082945564723,34.94545804078053,9.513149132655524,22.0
S6_NARRATE,F7_ADVERSARIAL,T4_CRITIC,5,25.79023707310401,16.672618819614385,34.90785532659363,14.068156043110054,9.0
S6_NARRATE,F7_ADVERSARIAL,T5_HUMAN_K0,24,32.08749754398291,29.310587296204673,34.86440779176115,8.48215068045791,28.0
S6_NARRATE,F7_ADVERSARIAL,T5_HUMAN_K1,15,30.822494215649126,26.671658788684972,34.97332964261328,10.18458683487693,19.0
S6_NARRATE,F7_ADVERSARIAL,T5_HUMAN_K2,4,24.31313673137222,14.033074026177665,34.59319943656678,14.626397829554742,8.0
S6_NARRATE,F7_ADVERSARIAL,T5_HUMAN_K3,1,14.243476500262489,-1.0019006145328504,29.488853615057824,15.131524698415525,5.0
