stage,fault_type,topology,state_before,state_after,posterior_mean,ci_05,ci_95,cell_n
S4_MODEL,F6_CONTEXT,T1_LINEAR,E,R,0.06854054212346872,0.010744194176210708,0.1663609870862393,15.999999999999998
S4_MODEL,F6_CONTEXT,T1_LINEAR,E,H,0.010469583416595074,1.6045185651842455e-07,0.05018638853110599,15.999999999999998
S4_MODEL,F6_CONTEXT,T2_VALIDATOR,E,C,0.02013150429556288,2.616772593656245e-07,0.09995902360462366,4.0
S4_MODEL,F6_CONTEXT,T2_VALIDATOR,E,E,0.6639836560206661,0.44113994561012515,0.8618160367172947,4.0
S4_MODEL,F6_CONTEXT,T2_VALIDATOR,E,R,0.29513443186545396,0.11101116368551464,0.514802613063061,4.0
S4_MODEL,F6_CONTEXT,T2_VALIDATOR,E,H,0.020750407818317017,5.201488205085864e-07,0.10169964729672845,4.0
S4_MODEL,F6_CONTEXT,T2_VALIDATOR,R,C,0.012172835776290325,1.7770343351634437e-07,0.058262879486819644,12.0
S4_MODEL,F6_CONTEXT,T2_VALIDATOR,R,E,0.01245449713903847,2.4258346679106193e-07,0.05997201580960178,12.0
S4_MODEL,F6_CONTEXT,T2_VALIDATOR,R,R,0.9637644200515743,0.8837219758766264,0.9990334976949754,12.0
S4_MODEL,F6_CONTEXT,T2_VALIDATOR,R,H,0.011608247033097012,2.663868884971669e-07,0.05618996478718163,12.0
S4_MODEL,F6_CONTEXT,T3_SUPERVISOR,E,C,0.024600634050976004,3.3806498498115614e-07,0.11884654161536877,2.0000000000000018
S4_MODEL,F6_CONTEXT,T3_SUPERVISOR,E,E,0.5988186912879767,0.35229309091104777,0.8269976259031351,2.0000000000000018
S4_MODEL,F6_CONTEXT,T3_SUPERVISOR,E,R,0.3527877928188366,0.13858843856421116,0.601971599178467,2.0000000000000018
S4_MODEL,F6_CONTEXT,T3_SUPERVISOR,E,H,0.023792881842210768,7.102257548676921e-07,0.11321731753383346,2.0000000000000018
S4_MODEL,F6_CONTEXT,T3_SUPERVISOR,R,C,0.01141169348328772,2.2536881917308003e-07,0.05116397299788362,14.0
S4_MODEL,F6_CONTEXT,T3_SUPERVISOR,R,E,0.01091360755088889,1.526815972094683e-07,0.053791038929352074,14.0
S4_MODEL,F6_CONTEXT,T3_SUPERVISOR,R,R,0.9666345538793085,0.8907488087402965,0.9992886021435428,14.0
S4_MODEL,F6_CONTEXT,T3_SUPERVISOR,R,H,0.011040145086514873,1.324509205764903e-07,0.05449783620956424,14.0
S4_MODEL,F6_CONTEXT,T4_CRITIC,E,C,0.013020098057279383,1.6864199264318868e-07,0.06367836545852748,10.000000000000002
S4_MODEL,F6_CONTEXT,T4_CRITIC,E,E,0.5548761948875838,0.3657622561158843,0.7372734832257599,10.000000000000002
S4_MODEL,F6_CONTEXT,T4_CRITIC,E,R,0.4183298965228833,0.23602280152684643,0.6121473685439304,10.000000000000002
S4_MODEL,F6_CONTEXT,T4_CRITIC,E,H,0.013773810532253504,2.1562313506396998e-07,0.06534483941088352,10.000000000000002
S4_MODEL,F6_CONTEXT,T4_CRITIC,R,C,0.016458474230387724,3.5433892218773865e-07,0.079765484880377,6.0
S4_MODEL,F6_CONTEXT,T4_CRITIC,R,E,0.01693783151386396,2.5985616158373815e-07,0.07965869440558623,6.0
S4_MODEL,F6_CONTEXT,T4_CRITIC,R,R,0.9501971505273156,0.8423483031073213,0.9987201456829793,6.0
S4_MODEL,F6_CONTEXT,T4_CRITIC,R,H,0.016406543728432817,4.124246869145678e-07,0.07595192131634287,6.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K0,E,C,0.010498358716418741,1.5246714413701904e-07,0.05011867333994889,14.999999999999998
S4_MODEL,F6_CONTEXT,T5_HUMAN_K0,E,E,0.9050750305125179,0.7901884760854075,0.9798460628258081,14.999999999999998
S4_MODEL,F6_CONTEXT,T5_HUMAN_K0,E,R,0.0738522747458621,0.011156268561802424,0.17976626690063532,14.999999999999998
S4_MODEL,F6_CONTEXT,T5_HUMAN_K0,E,H,0.010574336025201162,2.084850661102083e-07,0.052030892475680594,14.999999999999998
S4_MODEL,F6_CONTEXT,T5_HUMAN_K0,R,C,0.025916502819023156,5.593636917730801e-07,0.12607686330415988,1.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K0,R,E,0.02567532983943703,4.5101127024847104e-07,0.12339670538258299,1.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K0,R,R,0.9225665789051497,0.7536649166297282,0.9985206757011987,1.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K0,R,H,0.025841588436390006,3.713218030549384e-07,0.12581586068096154,1.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K1,E,C,0.01030676239785215,1.632269563322332e-07,0.047999970367887834,15.999999999999998
S4_MODEL,F6_CONTEXT,T5_HUMAN_K1,E,E,0.9086053825707914,0.7950986013354066,0.980857396212848,15.999999999999998
S4_MODEL,F6_CONTEXT,T5_HUMAN_K1,E,R,0.07070065260395966,0.01067187289124733,0.1721794335245957,15.999999999999998
S4_MODEL,F6_CONTEXT,T5_HUMAN_K1,E,H,0.010387202427396741,1.4014119030697886e-07,0.05109197674431028,15.999999999999998
S4_MODEL,F6_CONTEXT,T5_HUMAN_K2,E,C,0.01961082251630596,4.288707642150985e-07,0.09465576105575775,4.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K2,E,E,0.8254524811274674,0.6243535577217321,0.9619353230036255,4.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K2,E,R,0.1349829692139117,0.021876565577102613,0.3192223195624324,4.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K2,E,H,0.01995372714231494,3.4574011010627166e-07,0.10323726924831732,4.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K2,R,C,0.012406873893047522,2.619569451555857e-07,0.06042121738807338,12.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K2,R,E,0.011994976787711465,1.57747082640008e-07,0.06022436979538408,12.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K2,R,R,0.9637063340798226,0.8812258372721009,0.9991090006745571,12.0
