replication,topology,parameter,truth,estimate,ci_05,ci_95,ci_025,ci_975,covered_90,covered_95
50,T1_LINEAR,E_to_E,0.93,0.8720302077387561,0.7957696467452873,0.9341484363912362,0.7810877338345876,0.9441709187464009,True,True
50,T2_VALIDATOR,E_to_E,0.2,0.28191841700181036,0.19165224044098764,0.376552325372103,0.17695194966318387,0.398140780236257,True,True
51,T1_LINEAR,E_to_E,0.93,0.9231701443566976,0.8606254603244163,0.9701274251577756,0.8453770764036791,0.9750699872203678,True,True
51,T2_VALIDATOR,E_to_E,0.2,0.2163389339721205,0.1360493011175707,0.3087242509260033,0.12196222796282116,0.32904764669581615,True,True
52,T1_LINEAR,E_to_E,0.93,0.8885221759322985,0.8171358468340799,0.9453239275749509,0.7954213654280714,0.9556713908632695,True,True
52,T2_VALIDATOR,E_to_E,0.2,0.11887766847174878,0.05751314399860472,0.19350596130834485,0.049008465462319344,0.20985364915516935,False,True
53,T1_LINEAR,E_to_E,0.93,0.9071825232216818,0.8402225263103477,0.9584280860455292,0.8258975883906706,0.965394264718484,True,True
53,T2_VALIDATOR,E_to_E,0.2,0.1850783198129051,0.10909512755735594,0.2726236655574613,0.09689628134294456,0.29114903260394254,True,True
54,T1_LINEAR,E_to_E,0.93,0.9555398176810557,0.9042143954058612,0.9874806848340243,0.8907089142651845,0.9904216274565422,True,True
54,T2_VALIDATOR,E_to_E,0.2,0.15499130456297808,0.08683491965120436,0.2326873064778792,0.07737629639869277,0.2487953201878097,True,True
55,T1_LINEAR,E_to_E,0.93,0.8897991931968702,0.8201289117854833,0.947296066500461,0.7998964221228673,0.957011525005592,True,True
55,T2_VALIDATOR,E_to_E,0.2,0.2325394482101521,0.14825322232923074,0.3230608149311381,0.13568731207195364,0.34644367507903423,True,True
56,T1_LINEAR,E_to_E,0.93,0.9235187332961106,0.8636941895448985,0.9686552008490983,0.8488324288923151,0.9747663035821043,True,True
56,T2_VALIDATOR,E_to_E,0.2,0.21709847823730435,0.13373669042355552,0.3070431551233372,0.12447834664096595,0.32928935778761403,True,True
57,T1_LINEAR,E_to_E,0.93,0.9376324053362591,0.878930369606204,0.9785926205068036,0.8645722131826397,0.9832185044672509,True,True
57,T2_VALIDATOR,E_to_E,0.2,0.1685459122926045,0.09486696003374363,0.252244791891337,0.08656067224015933,0.26735011491950966,True,True
58,T1_LINEAR,E_to_E,0.93,0.906017890897971,0.8393361503945628,0.9594633221887524,0.82134451438741,0.9649317519157432,True,True
58,T2_VALIDATOR,E_to_E,0.2,0.2665593455441642,0.1800658068956781,0.3651532102038592,0.16709695345336498,0.38654388595693207,True,True
59,T1_LINEAR,E_to_E,0.93,0.9543013485341969,0.9017213684767611,0.9876190779446586,0.8875361738418674,0.9901574480354728,True,True
59,T2_VALIDATOR,E_to_E,0.2,0.14985690261322668,0.0804947509880709,0.2302232647176091,0.06960199649127241,0.25035929098475607,True,True
60,T1_LINEAR,E_to_E,0.93,0.9383545702070509,0.8787851908591867,0.9806062085801371,0.865088730032127,0.9850034678643498,True,True
60,T2_VALIDATOR,E_to_E,0.2,0.17001226761852087,0.09763703094299679,0.25711411522759886,0.08562619411559057,0.27181549557386986,True,True
61,T1_LINEAR,E_to_E,0.93,0.9542998156373615,0.9021217584839089,0.9881645611427443,0.889231404067188,0.9912516391922234,True,True
61,T2_VALIDATOR,E_to_E,0.2,0.21693216770986024,0.13744467236511707,0.30771458677382985,0.12277937771239165,0.32479428479098127,True,True
62,T1_LINEAR,E_to_E,0.93,0.9206726823201882,0.855408914105423,0.9696766161799244,0.8396406581564799,0.9757395817665595,True,True
62,T2_VALIDATOR,E_to_E,0.2,0.21658244643761207,0.13503364362763648,0.309879480919733,0.12418581519683444,0.32915216105954653,True,True
63,T1_LINEAR,E_to_E,0.93,0.8576971300650169,0.7798555466289891,0.9242477937267917,0.7611195167610956,0.9310394720023315,False,True
63,T2_VALIDATOR,E_to_E,0.2,0.28307675113021935,0.19543495019065338,0.3805655570195874,0.17996133722023447,0.3959872598528526,True,True
64,T1_LINEAR,E_to_E,0.93,0.9395701590667135,0.8853956061534055,0.9784872359544349,0.8671245796585764,0.9830300941200449,True,True
64,T2_VALIDATOR,E_to_E,0.2,0.26606072515311324,0.1749928706004403,0.3637886546377193,0.1607099224014633,0.3833667531982849,True,True
65,T1_LINEAR,E_to_E,0.93,0.9383887858231733,0.8835343547712035,0.9780996718880539,0.8655353442858588,0.982015503740832,True,True
65,T2_VALIDATOR,E_to_E,0.2,0.16872170565041783,0.09731291273009751,0.25622694392879514,0.08515607989911284,0.2751482981943599,True,True
66,T1_LINEAR,E_to_E,0.93,0.9069371927754569,0.8394899507171243,0.9589451700995222,0.8251847578294043,0.9661143999167308,True,True
66,T2_VALIDATOR,E_to_E,0.2,0.21639924955268394,0.1398313958295049,0.30266413906000983,0.12773364893309444,0.3205542391809806,True,True
67,T1_LINEAR,E_to_E,0.93,0.9544375980753766,0.905663009887831,0.9881961410041098,0.8901215459909034,0.991435217487671,True,True
67,T2_VALIDATOR,E_to_E,0.2,0.10326186420405807,0.0484179530155272,0.1753491441810692,0.0419257926450317,0.19081116759879707,False,False
68,T1_LINEAR,E_to_E,0.93,0.9057723148893934,0.8410404511700588,0.9576541298047968,0.82486832857335,0.9649966415645242,True,True
68,T2_VALIDATOR,E_to_E,0.2,0.18506835921780068,0.10845684293597971,0.2695696419545224,0.09633301091814406,0.28632033034759014,True,True
69,T1_LINEAR,E_to_E,0.93,0.9064156062343383,0.8402742065761362,0.9577901925915053,0.8272678954463304,0.9655023098637209,True,True
69,T2_VALIDATOR,E_to_E,0.2,0.26702485004911225,0.18025255826317788,0.3647450950426707,0.16563109872455076,0.38524515680731214,True,True
70,T1_LINEAR,E_to_E,0.93,0.9238477709184335,0.864384190982957,0.9691880656202959,0.8493714346585975,0.9750709645509694,True,True
